molecule,period,biosimilar_rx,reference_rx,total_rx,biosimilar_share,molecule_class,therapeutic_area
adalimumab,2009-01-01,0,10212,10212,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-02-01,0,10204,10204,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-03-01,0,11604,11604,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-04-01,0,12092,12092,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-05-01,0,11504,11504,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-06-01,0,10612,10612,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-07-01,0,12078,12078,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-08-01,0,11830,11830,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-09-01,0,11586,11586,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-10-01,0,13190,13190,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-11-01,0,14012,14012,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2009-12-01,0,12918,12918,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-01-01,0,17204,17204,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-02-01,0,13714,13714,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-03-01,0,15342,15342,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-04-01,0,12198,12198,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-05-01,0,15272,15272,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-06-01,0,14502,14502,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-07-01,0,16110,16110,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-08-01,0,13422,13422,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-09-01,0,15616,15616,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-10-01,0,15556,15556,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-11-01,0,16274,16274,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2010-12-01,0,12624,12624,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-01-01,0,15478,15478,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-02-01,0,15476,15476,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-03-01,0,18078,18078,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-04-01,0,16712,16712,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-05-01,0,16628,16628,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-06-01,0,15780,15780,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-07-01,0,19052,19052,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-08-01,0,17762,17762,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-09-01,0,16850,16850,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-10-01,0,15978,15978,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-11-01,0,15828,15828,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2011-12-01,0,13506,13506,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2012-01-01,0,16694,16694,0,anti-TNF,rheumatology/gastro/derm
adalimumab,2012-02-01,0,13166,13166,0,anti-TNF,rheumatology/gastro/derm
