molecule,period,biosimilar_rx,reference_rx,total_rx,biosimilar_share,time,post_aip_regulation,time_after_aip_regulation,post_biosimilar_listing,time_after_biosimilar_listing,post_a_flag,time_after_a_flag,post_additional_biosimilar_1,time_after_additional_biosimilar_1,post_additional_biosimilar_2,time_after_additional_biosimilar_2,post_price_cut,time_after_price_cut,post_streamlined_authority_1,time_after_streamlined_authority_1,post_streamlined_authority_2,time_after_streamlined_authority_2,post_streamlined_authority_3,time_after_streamlined_authority_3,post_additional_biosimilar_3,time_after_additional_biosimilar_3,post_additional_biosimilar_4,time_after_additional_biosimilar_4,post_streamlined_authority,time_after_streamlined_authority,post_reference_delisting,time_after_reference_delisting,post_price_disclosure,time_after_price_disclosure,post_additional_biosimilar,time_after_additional_biosimilar,post_reference_delisting_1,time_after_reference_delisting_1,post_reference_delisting_2,time_after_reference_delisting_2
adalimumab,2009-01-01,0,5106,5106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-02-01,0,5102,5102,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-03-01,0,5802,5802,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-04-01,0,6046,6046,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-05-01,0,5752,5752,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-06-01,0,5306,5306,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-07-01,0,6039,6039,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-08-01,0,5915,5915,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-09-01,0,5793,5793,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalimumab,2009-10-01,0,6595,6595,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
