molecule,period,state,biosimilar_rx,reference_rx,total_rx,biosimilar_share
adalimumab,2009-01-01,ACT,0,111,111,0
adalimumab,2009-02-01,ACT,0,80,80,0
adalimumab,2009-03-01,ACT,0,121,121,0
adalimumab,2009-04-01,ACT,0,143,143,0
adalimumab,2009-05-01,ACT,0,120,120,0
adalimumab,2009-06-01,ACT,0,101,101,0
adalimumab,2009-07-01,ACT,0,145,145,0
adalimumab,2009-08-01,ACT,0,128,128,0
adalimumab,2009-09-01,ACT,0,113,113,0
adalimumab,2009-10-01,ACT,0,138,138,0
adalimumab,2009-11-01,ACT,0,113,113,0
adalimumab,2009-12-01,ACT,0,169,169,0
adalimumab,2010-01-01,ACT,0,183,183,0
adalimumab,2010-02-01,ACT,0,123,123,0
adalimumab,2010-03-01,ACT,0,173,173,0
adalimumab,2010-04-01,ACT,0,97,97,0
adalimumab,2010-05-01,ACT,0,142,142,0
adalimumab,2010-06-01,ACT,0,167,167,0
adalimumab,2010-07-01,ACT,0,147,147,0
adalimumab,2010-08-01,ACT,0,137,137,0
adalimumab,2010-09-01,ACT,0,151,151,0
adalimumab,2010-10-01,ACT,0,167,167,0
adalimumab,2010-11-01,ACT,0,168,168,0
adalimumab,2010-12-01,ACT,0,122,122,0
adalimumab,2011-01-01,ACT,0,149,149,0
adalimumab,2011-02-01,ACT,0,135,135,0
adalimumab,2011-03-01,ACT,0,191,191,0
adalimumab,2011-04-01,ACT,0,153,153,0
adalimumab,2011-05-01,ACT,0,204,204,0
adalimumab,2011-06-01,ACT,0,147,147,0
adalimumab,2011-07-01,ACT,0,164,164,0
adalimumab,2011-08-01,ACT,0,176,176,0
adalimumab,2011-09-01,ACT,0,167,167,0
adalimumab,2011-10-01,ACT,0,146,146,0
adalimumab,2011-11-01,ACT,0,122,122,0
adalimumab,2011-12-01,ACT,0,144,144,0
adalimumab,2012-01-01,ACT,0,166,166,0
adalimumab,2012-02-01,ACT,0,83,83,0
adalimumab,2012-03-01,ACT,0,221,221,0
adalimumab,2012-04-01,ACT,0,144,144,0
adalimumab,2012-05-01,ACT,0,192,192,0
adalimumab,2012-06-01,ACT,0,345,345,0
adalimumab,2012-07-01,ACT,0,163,163,0
adalimumab,2012-08-01,ACT,0,183,183,0
adalimumab,2012-09-01,ACT,0,295,295,0
adalimumab,2012-10-01,ACT,0,209,209,0
adalimumab,2012-11-01,ACT,0,220,220,0
adalimumab,2012-12-01,ACT,0,106,106,0
adalimumab,2013-01-01,ACT,0,236,236,0
adalimumab,2013-02-01,ACT,0,172,172,0
adalimumab,2013-03-01,ACT,0,174,174,0
adalimumab,2013-04-01,ACT,0,156,156,0
adalimumab,2013-05-01,ACT,0,228,228,0
adalimumab,2013-06-01,ACT,0,239,239,0
adalimumab,2013-07-01,ACT,0,197,197,0
adalimumab,2013-08-01,ACT,0,170,170,0
adalimumab,2013-09-01,ACT,0,157,157,0
adalimumab,2013-10-01,ACT,0,156,156,0
adalimumab,2013-11-01,ACT,0,122,122,0
adalimumab,2013-12-01,ACT,0,141,141,0
adalimumab,2014-01-01,ACT,0,142,142,0
adalimumab,2014-02-01,ACT,0,70,70,0
adalimumab,2014-03-01,ACT,0,435,435,0
adalimumab,2014-04-01,ACT,0,672,672,0
adalimumab,2014-05-01,ACT,0,307,307,0
adalimumab,2014-06-01,ACT,0,294,294,0
adalimumab,2014-07-01,ACT,0,268,268,0
adalimumab,2014-08-01,ACT,0,303,303,0
adalimumab,2014-09-01,ACT,0,231,231,0
adalimumab,2014-10-01,ACT,0,205,205,0
adalimumab,2014-11-01,ACT,0,299,299,0
adalimumab,2014-12-01,ACT,0,215,215,0
adalimumab,2015-01-01,ACT,0,248,248,0
adalimumab,2015-02-01,ACT,0,472,472,0
adalimumab,2015-03-01,ACT,0,283,283,0
adalimumab,2015-04-01,ACT,0,318,318,0
