item_number,molecule,drug_name,form_strength,atc_code,brand_name,brand_from_desc,type
01082Y,filgrastim,FILGRASTIM,Injection 300 micrograms in 0.5 mL single use pre-filled syringe (TevaGrastim),L03AA02,TevaGrastim,TevaGrastim,biosimilar
01113N,filgrastim,FILGRASTIM,Injection 480 micrograms in 0.8 mL single use pre-filled syringe (TevaGrastim),L03AA02,TevaGrastim,TevaGrastim,biosimilar
01123D,filgrastim,FILGRASTIM,Injection 300 micrograms in 0.5 mL single use pre-filled syringe (TevaGrastim),L03AA02,TevaGrastim,TevaGrastim,biosimilar
01126G,filgrastim,FILGRASTIM,Injection 480 micrograms in 0.8 mL single use pre-filled syringe (TevaGrastim),L03AA02,TevaGrastim,TevaGrastim,biosimilar
01954W,etanercept,ETANERCEPT,Injection set containing 4 vials powder for injection 25 mg and 4 pre-filled syringes solvent 1 mL,L04AB01,Enbrel,NA,reference
01963H,etanercept,ETANERCEPT,"Injections 50 mg in 1 mL single use pre-filled syringes, 4",L04AB01,Erelzi,NA,biosimilar
01964J,etanercept,ETANERCEPT,"Injection 50 mg in 1 mL single use auto-injector, 4",L04AB01,Erelzi,NA,biosimilar
02168D,aflibercept,AFLIBERCEPT,Solution for intravitreal injection 4 mg in 100 microlitres (40 mg per mL),S01LA05,Eylea,40 mg per mL,reference
02733W,filgrastim,FILGRASTIM,Injection 480 micrograms in 0.5 mL single-use pre-filled syringe,L03AA02,Zarzio,NA,biosimilar
02747N,filgrastim,FILGRASTIM,Injection 300 micrograms in 0.5 mL single-use pre-filled syringe,L03AA02,Zarzio,NA,biosimilar
02758E,filgrastim,FILGRASTIM,Injection 300 micrograms in 0.5 mL single-use pre-filled syringe,L03AA02,Zarzio,NA,biosimilar
02783L,filgrastim,FILGRASTIM,Injection 480 micrograms in 0.5 mL single-use pre-filled syringe,L03AA02,Zarzio,NA,biosimilar
03445H,etanercept,ETANERCEPT,Injection set containing 4 vials powder for injection 25 mg and 4 pre-filled syringes solvent 1 mL,L04AB01,Enbrel,NA,reference
03446J,etanercept,ETANERCEPT,"Injections 50 mg in 1 mL single use pre-filled syringes, 4",L04AB01,Erelzi,NA,biosimilar
03447K,etanercept,ETANERCEPT,"Injection 50 mg in 1 mL single use auto-injector, 4",L04AB01,Erelzi,NA,biosimilar
03448L,etanercept,ETANERCEPT,Injection set containing 4 vials powder for injection 25 mg and 4 pre-filled syringes solvent 1 mL,L04AB01,Enbrel,NA,reference
