period,months_since_listing,total_rx,biosimilar_share,cf_oecd_share,actual_exp,cf_exp,monthly_savings,cumulative_savings
2021-07-01,3,24644,0.30141210842395716,0.30141210842395716,19725608,19725608,0,0
2021-08-01,4,25047,0.24577793747754223,0.24577793747754223,20124819,20124819,0,0
2021-09-01,5,24645,0.20900791235544736,0.24831568683824584,19851660,19798379.29438293,53280.7056170702,53280.7056170702
2021-10-01,6,24742,0.16530595748120605,0.29221647764976455,19989264,19816562.895049423,172701.10495057702,225981.81056764722
2021-11-01,7,25629,0.16414998634359515,0.3388753883143923,20707508,20461215.947008975,246292.05299102515,472273.86355867237
2021-12-01,8,28054,0.16874598987666642,0.387,22659748,22322988.61,336759.3900000006,809033.253558673
2022-01-01,9,24307,0.1666186695190686,0.43512461168560773,19636069,19277107.433506686,358961.56649331376,1167994.8200519867
2022-02-01,10,23762,0.1757006985943944,0.48178352235023547,19183929,18783906.296805255,400022.7031947449,1568017.5232467316
2022-03-01,11,27598,0.16993985071381984,0.5256843131617541,22289616,21749635.037894905,539980.9621050954,2107998.485351827
2022-04-01,12,25442,0.17541859916673216,0.5658393398596238,20540649,19994329.353341028,546319.6466589719,2654318.132010799
2022-05-01,13,27113,0.1774794379080146,0.601630092549211,21886661,21254161.18153923,632499.81846077,3286817.950471569
2022-06-01,14,26672,0.1822885422915417,0.6328026445738801,21523614,20862727.8325159,660886.1674841009,3947704.1179556698
2022-07-01,15,26576,0.18753762793497897,0.6594114687234724,21438472,20748743.444396272,689728.5556037277,4637432.673559397
2022-08-01,16,27553,0.19428011468805576,0.6817369383548809,22216386,21477686.61756294,738699.3824370615,5376132.055996459
2022-09-01,17,26707,0.19496761148762495,0.7001995141680893,21533234,20791106.436631206,742127.5633687936,6118259.619365253
2022-10-01,18,27573,0.1984912776991985,0.7152857686635575,22226126,21442399.402535185,783726.5974648148,6901986.216830067
2022-11-01,19,28045,0.20039222677839183,0.7274929327653181,22603665,21790625.338532817,813039.6614671834,7715025.878297251
2022-12-01,20,29561,0.20777375596224756,0.7372923741605634,23813527,22952606.50700918,860920.4929908216,8575946.371288072
2023-01-01,21,27032,0.2000591891092039,0.7451089891956438,21787704,20977345.759223484,810358.2407765165,9386304.612064589
2023-02-01,22,26500,0.2029056603773585,0.7513123333984502,21354765,20555462.274071757,799302.7259282432,10185607.337992832
2023-03-01,23,32455,0.19778154367585887,0.7562155156896402,26162690,25165871.3991061,996818.6008938998,11182425.938886732
2023-04-01,24,24699,0.1944208267541196,0.7600786734893411,15086997,14500207.307426441,586789.6925735585,11769215.63146029
2023-05-01,25,28689,0.20143609048764335,0.763114752668528,17515773,16838985.036149092,676787.963850908,12446003.595311198
2023-06-01,26,27853,0.19509568089613327,0.765496106403921,17012779,16345509.751829926,667269.2481700741,13113272.843481272
2023-07-01,27,28130,0.1965161749022396,0.767361026289787,17180294,16505863.641879668,674430.3581203315,13787703.201601604
2023-08-01,28,29950,0.2086811352253756,0.7688197333846036,18276550,17571951.657375507,704598.342624493,14492301.544226097
2023-09-01,29,27821,0.221595197872111,0.7699596227131859,16962269,16321515.040132852,640753.9598671477,15133055.504093245
2023-10-01,30,29863,0.22472624987442655,0.7708497134078964,18203335,17518361.830357,684973.1696429998,15818028.673736244
2023-11-01,31,29910,0.2295218990304246,0.7715443434799165,18225960,17545060.56483366,680899.4351663403,16498928.108902585
2023-12-01,32,31115,0.23512775188815685,0.7720861896767648,18952913,18251199.604744714,701713.3952552862,17200641.50415787
2024-01-01,33,29336,0.23663757840196345,0.7725087073705845,17867420,17207166.751544215,660253.2484557852,17860894.752613656
2024-02-01,34,28787,0.24014312015840483,0.7728380849332855,17528807,16884750.02205907,644056.9779409282,18504951.730554584
2024-03-01,35,32820,0.2430530164533821,0.773094799054847,19980546,19249915.205190834,730630.7948091663,19235582.52536375
2024-04-01,36,29738,0.24409845988297799,0.7732948463755339,18102944,17441979.830056343,660964.1699436568,19896546.695307408
2024-05-01,37,31568,0.2414153573238723,0.7734507151110962,19220510,18515107.72866566,705402.2713343389,20601948.966641746
2024-06-01,38,29640,0.2438933873144399,0.7735721493350212,18043542,17384155.50273582,659386.4972641803,21261335.463905927
2024-07-01,39,33771,0.2595125995676764,0.7736667488190548,20536161,19806894.00947653,729266.9905234687,21990602.454429395
2024-08-01,40,31601,0.2468592766051707,0.773740438999019,19233377,18534078.192262065,699298.8077379353,22689901.26216733
2024-09-01,41,31696,0.2535020191822312,0.77379783869302,19282354,18589719.555601012,692634.444398988,23382535.70656632
2024-10-01,42,33100,0.2591238670694864,0.7738425475189853,20128666,19413104.090439107,715561.9095608927,24098097.61612721
2024-11-01,43,32318,0.2545949625595643,0.7738773703664147,19659266,18954414.908068925,704851.0919310749,24802948.708058286
2024-12-01,44,35022,0.25618182856490207,0.7739044925981866,21301794,20540263.308129504,761530.6918704957,25564479.399928782
2025-01-01,45,31928,0.2545101478326234,0.7739256167304034,19422140,18725616.322179332,696523.6778206676,26261003.07774945
2025-02-01,46,30459,0.25421057815424014,0.7739420690199068,18528915,17864033.93782835,664881.0621716492,26925884.1399211
2025-03-01,47,35667,0.2329043653797628,0.7739548825603783,21728979,20918477.750556197,810501.249443803,27736385.389364902
2025-04-01,48,31895,0.2242984793854836,0.7739648620496243,19442537,18706209.41044694,736327.5895530581,28472712.97891796
2025-05-01,49,33893,0.2199864278759626,0.7739726342619259,20666615,19878012.311292343,788602.6887076572,29261315.667625617
2025-06-01,50,32621,0.2171913797860274,0.7739786873750772,19894829,19131984.73204378,762844.2679562196,30024159.935581837
2025-07-01,51,34634,0.2188023329676041,0.7739834016099223,21120170,20312588.072482962,807581.9275170378,30831741.863098875
2025-08-01,52,33489,0.215861924811132,0.7739870730994897,20426073,19641048.77017679,785024.2298232093,31616766.092922084
2025-09-01,53,34825,0.22113424264178033,0.773989932482567,21233233,20424598.625254374,808634.374745626,32425400.46766771
2025-10-01,54,34733,0.206431923530936,0.7739921593869808,21198587,20370638.073776506,827948.9262234941,33253349.393891204
2025-11-01,55,33564,0.20393874389226552,0.7739938937107582,20488626,19685026.095962666,803599.904037334,34056949.29792854
