cutoff,estimate,estimate_bc,se_robust,ci_lower,ci_upper,p_robust,bandwidth,n_left,n_right,molecule,type,poly_order,bw_multiplier,sig
Rituximab: MabThera IV delisting,0.001305,0.003508,0.004939,-0.006172,0.013188,0.4775,10.83,10,11,Rituximab,Main,1,1,
Rituximab: MabThera SC delisting,0.011272,0.018318,0.011815,-0.004839,0.041475,0.121,10.35,10,11,Rituximab,Main,1,1,
Adalimumab: 24% price cut,1.43e-4,0.003042,0.010997,-0.018513,0.024596,0.7821,3.5,3,4,Adalimumab,Main,1,1,
Adalimumab: Streamlined authority,-0.004412,-0.008998,0.023037,-0.05415,0.036154,0.6961,4.42,4,5,Adalimumab,Main,1,1,
MabThera IV delisting (donut),2.94e-4,0.004223,0.009235,-0.013876,0.022323,0.6474,9.09,9,9,Rituximab,Donut (1 month),1,1,
MabThera SC delisting (donut),0.016324,0.031887,0.011334,0.009673,0.054101,0.0049,9.54,9,9,Rituximab,Donut (1 month),1,1,**
24% price cut (donut),0.015119,0.024205,0.015694,-0.006554,0.054965,0.123,2.56,2,2,Adalimumab,Donut (1 month),1,1,
Streamlined authority (donut),-0.00207,-0.007457,0.023628,-0.053766,0.038852,0.7523,4.34,4,4,Adalimumab,Donut (1 month),1,1,
Placebo: 2020-06-01,0.014211,0.014167,0.006204,0.002007,0.026327,0.0224,13.03,13,14,Rituximab,Placebo,1,1,*
Placebo: 2020-10-01,-0.006576,-0.010258,0.007059,-0.024093,0.003578,0.1462,12.49,12,13,Rituximab,Placebo,1,1,
Placebo: 2022-06-01,-0.09822,-0.132995,0.091875,-0.313068,0.047077,0.1477,7.55,7,8,Rituximab,Placebo,1,1,
Placebo: 2022-07-01,-0.005385,0.007161,0.013955,-0.02019,0.034513,0.6078,6.54,6,7,Adalimumab,Placebo,1,1,
Placebo: 2022-11-01,0.001486,-0.003329,0.009269,-0.021496,0.014839,0.7195,5.3,5,6,Adalimumab,Placebo,1,1,
Placebo: 2023-01-01,-0.009486,-0.009917,0.012958,-0.035314,0.015479,0.444,5.42,5,6,Adalimumab,Placebo,1,1,
