molecule,state,biosimilar_rx,reference_rx,total_rx,biosimilar_share,state_name,population_2021,pct_65plus,pct_remote,seifa_irsd,specialist_per_100k
adalimumab,ACT,503,2533,3036,0.16567852437417654,Australian Capital T.,431826,13.4,0,1079,160
adalimumab,NSW,7959,37465,45424,0.17521574498062698,New South Wales,8072163,17.3,5.3,1001,125
adalimumab,NT,107,438,545,0.1963302752293578,Northern Territory,232605,7.6,46.1,912,70
adalimumab,QLD,5687,21723,27410,0.2074790222546516,Queensland,5156138,16.5,11.3,993,105
adalimumab,SA,2807,7818,10625,0.26418823529411767,South Australia,1781516,19,8.7,978,120
adalimumab,TAS,567,4329,4896,0.11580882352941177,Tasmania,557571,21.2,16.8,953,90
adalimumab,VIC,7695,36161,43856,0.17546059832178038,Victoria,6503491,16.5,3,1010,130
adalimumab,WA,4285,14374,18659,0.22964789109812958,Western Australia,2660026,14.8,9,1019,115
rituximab,ACT,3,100,103,0.02912621359223301,Australian Capital T.,431826,13.4,0,1079,160
rituximab,NSW,207,5061,5268,0.03929384965831435,New South Wales,8072163,17.3,5.3,1001,125
rituximab,NT,3,67,70,0.04285714285714286,Northern Territory,232605,7.6,46.1,912,70
rituximab,QLD,375,3389,3764,0.09962805526036132,Queensland,5156138,16.5,11.3,993,105
rituximab,SA,79,1291,1370,0.05766423357664233,South Australia,1781516,19,8.7,978,120
rituximab,TAS,45,449,494,0.09109311740890688,Tasmania,557571,21.2,16.8,953,90
rituximab,VIC,380,4069,4449,0.08541245223645763,Victoria,6503491,16.5,3,1010,130
rituximab,WA,107,1466,1573,0.06802288620470438,Western Australia,2660026,14.8,9,1019,115
