molecule,state,biosimilar_share,total_rx,period
adalimumab,ACT,0.1575091575091575,546,2022-06-01
adalimumab,NSW,0.1819385912101144,8305,2022-06-01
adalimumab,NT,0.20388349514563103,103,2022-06-01
adalimumab,QLD,0.1838074398249453,4570,2022-06-01
adalimumab,SA,0.2609427609427609,1782,2022-06-01
adalimumab,TAS,0.106651376146789,872,2022-06-01
adalimumab,VIC,0.17911220396013977,7727,2022-06-01
adalimumab,WA,0.2150031387319523,3186,2022-06-01
aflibercept,ACT,0,150,2022-06-01
aflibercept,NSW,0,14718,2022-06-01
aflibercept,NT,0,107,2022-06-01
aflibercept,QLD,0,9381,2022-06-01
aflibercept,SA,0,2374,2022-06-01
aflibercept,TAS,0,1077,2022-06-01
aflibercept,VIC,0,7370,2022-06-01
aflibercept,WA,0,3060,2022-06-01
bevacizumab,ACT,1,10,2022-06-01
bevacizumab,NSW,0.9698795180722892,1826,2022-06-01
bevacizumab,NT,0.9166666666666666,36,2022-06-01
bevacizumab,QLD,0.9836206896551724,1160,2022-06-01
bevacizumab,SA,1,519,2022-06-01
bevacizumab,TAS,1,124,2022-06-01
bevacizumab,VIC,0.9761163032191068,963,2022-06-01
bevacizumab,WA,0.9880159786950732,751,2022-06-01
etanercept,ACT,0.9593023255813954,172,2022-06-01
etanercept,NSW,0.9834403514700912,2959,2022-06-01
etanercept,NT,0.9767441860465116,43,2022-06-01
etanercept,QLD,0.9821546596166556,1513,2022-06-01
etanercept,SA,0.9872340425531916,705,2022-06-01
etanercept,TAS,0.9693251533742332,326,2022-06-01
etanercept,VIC,0.9736282433007232,2351,2022-06-01
etanercept,WA,0.9937943262411348,1128,2022-06-01
infliximab,ACT,1,178,2022-06-01
infliximab,NSW,1,1855,2022-06-01
infliximab,NT,0.99,100,2022-06-01
infliximab,QLD,0.997277059223962,1469,2022-06-01
infliximab,SA,1,632,2022-06-01
infliximab,TAS,1,283,2022-06-01
infliximab,VIC,1,1934,2022-06-01
infliximab,WA,1,764,2022-06-01
rituximab,ACT,0.0625,16,2022-06-01
rituximab,NSW,0.04889298892988929,1084,2022-06-01
rituximab,NT,0.03571428571428571,28,2022-06-01
rituximab,QLD,0.11264080100125155,799,2022-06-01
rituximab,SA,0.06529209621993128,291,2022-06-01
rituximab,TAS,0.09876543209876544,81,2022-06-01
rituximab,VIC,0.09583858764186633,793,2022-06-01
rituximab,WA,0.07220216606498195,277,2022-06-01
trastuzumab,ACT,1,22,2022-06-01
trastuzumab,NSW,0.7280934678704195,1883,2022-06-01
trastuzumab,NT,0.8870967741935484,62,2022-06-01
trastuzumab,QLD,0.9418604651162792,1204,2022-06-01
trastuzumab,SA,0.9760147601476016,542,2022-06-01
trastuzumab,TAS,0.7581699346405228,153,2022-06-01
trastuzumab,VIC,0.8717693836978131,1006,2022-06-01
trastuzumab,WA,0.8202443280977313,573,2022-06-01
