molecule,state,biosimilar_rx,reference_rx,total_rx,biosimilar_share,state_name,population_2021
adalimumab,SA,2807,7818,10625,0.2642,South Australia,1781516
adalimumab,WA,4285,14374,18659,0.2296,Western Australia,2660026
adalimumab,QLD,5687,21723,27410,0.2075,Queensland,5156138
adalimumab,NT,107,438,545,0.1963,Northern Territory,232605
adalimumab,VIC,7695,36161,43856,0.1755,Victoria,6503491
adalimumab,NSW,7959,37465,45424,0.1752,New South Wales,8072163
adalimumab,ACT,503,2533,3036,0.1657,Australian Capital T.,431826
adalimumab,TAS,567,4329,4896,0.1158,Tasmania,557571
rituximab,QLD,375,3389,3764,0.0996,Queensland,5156138
rituximab,TAS,45,449,494,0.0911,Tasmania,557571
rituximab,VIC,380,4069,4449,0.0854,Victoria,6503491
rituximab,WA,107,1466,1573,0.068,Western Australia,2660026
rituximab,SA,79,1291,1370,0.0577,South Australia,1781516
rituximab,NT,3,67,70,0.0429,Northern Territory,232605
rituximab,NSW,207,5061,5268,0.0393,New South Wales,8072163
rituximab,ACT,3,100,103,0.0291,Australian Capital T.,431826
